空港第２ビル?(4766),10:16着,
神田??,17:24着,
,17:24発,
御茶ノ水??,17:26着,
,17:26発,
四ツ谷?(4114),17:31着,
,17:31発,
新宿?(4115),17:37着,12
,17:37発,
,,
,,
新宿?(4115),20:36着,12
,20:36発,
中野?(4113),20:41着,
,20:41発,
高円寺??,レ,
,レ,
阿佐ヶ谷??,レ,
,レ,
荻窪??,20:45着,
,20:45発,
西荻窪??,レ,
,レ,
吉祥寺?(4116),20:49着,
,20:49発,
,,
,,
吉祥寺?(4116),22:51着,
,22:51発,
西荻窪??,22:53着,
,22:53発,
荻窪??,22:55着,
,22:55発,
阿佐ヶ谷??,22:57着,
,22:57発,
高円寺??,22:59着,
,22:59発,
中野?(4113),23:02着,
,23:02発,
東中野??,23:04着,
,23:04発,
大久保??,23:06着,
,23:06発,
新宿?(4115),23:08着,
,23:08発,
,,
,,
都庁前??,07:03着,
,07:04発,
新宿?(4115),07:06着,
,07:06発,
,,
,,
新宿?(4115),,7
,07:18発,
四ツ谷?(4114),レ,
,レ,
御茶ノ水??,レ,
,レ,
秋葉原?(4590),07:30着,
,07:32発,
浅草橋??,レ,
,レ,
両国?(4593),レ,
,レ,
錦糸町?(4595),07:39着,
,07:40発,
新小岩?(4596),レ,
,レ,
市川?(4597),レ,
,レ,
船橋?(4598),07:51着,
,07:52発,
津田沼?(4599),07:55着,
,07:56発,
幕張??,レ,
,レ,
稲毛?(4601),レ,
,レ,
千葉?(4600),08:06着,6
,08:10発,
本千葉??,レ,
,レ,
蘇我?(4815),08:14着,
,08:15発,
,,
,,
蘇我?(4815),08:22着,
,08:24発,
千葉みなと??,レ,
,レ,
稲毛海岸??,レ,
,レ,
検見川浜??,レ,
,レ,
海浜幕張?(4810),レ,
,レ,
新習志野??,レ,
,レ,
南船橋??,レ,
,レ,
二俣新町??,レ,
,レ,
市川塩浜??,レ,
,レ,
新浦安??,レ,
,レ,
舞浜?(4805),レ,
,レ,
葛西臨海公園??,レ,
,レ,
新木場?(4803),レ,
,レ,
潮見??,レ,
,レ,
越中島??,レ,
,レ,
八丁堀??,レ,
,レ,
東京?(4000),08:56着,京２
,,
,,
,,
東京?(4000),,2
,09:08発,
神田??,09:10着,
,09:10発,
御茶ノ水??,09:12着,
,09:12発,
四ツ谷?(4114),09:17着,
,09:17発,
新宿?(4115),09:22着,12
,09:22発,
,,
,,
都庁前??,,
,10:48発,
新宿西口??,10:49着,
,10:50発,
,,
,,
新宿?(4115),,
,11:57発,
池袋?(4085),12:03着,4
,12:03発,
,,
,,
池袋?(4085),14:08着,2
,14:09発,
新宿?(4115),14:14着,1
,14:15発,
,,
,,
新宿?(4115),14:23着,
,14:23発,
都庁前??,14:25着,
,14:25発,
,,
,,
都庁前??,14:45着,
,14:46発,
新宿?(4115),14:48着,
,14:48発,
代々木??,14:49着,
,14:50発,
国立競技場??,14:52着,
,14:53発,
青山一丁目??,14:55着,
,14:55発,
六本木??,14:57着,
,14:58発,
麻布十番??,14:59着,
,15:00発,
赤羽橋??,15:01着,
,15:02発,
大門??,15:04着,
,15:05発,
汐留??,15:06着,
,15:07発,
,,
,,
新橋?(4002),16:18着,
,16:18発,
銀座??,16:20着,
,16:20発,
京橋??,16:21着,
,16:22発,
日本橋??,16:23着,
,16:23発,
三越前??,16:25着,
,16:25発,
神田??,16:26着,
,16:27発,
末広町??,16:28着,
,16:29発,
,,
,,
岩本町??,18:17着,
,18:17発,
馬喰横山??,18:18着,
,18:19発,
浜町??,18:20着,
,18:20発,
森下??,18:21着,
,18:22発,
,,
,,
森下??,18:26着,
,18:27発,
清澄白河??,18:28着,
,18:29発,
門前仲町??,18:31着,
,18:32発,
月島??,18:33着,
,18:34発,
勝どき??,18:35着,
,18:36発,
築地市場??,18:38着,
,18:38発,
汐留??,18:40着,
,18:41発,
,,
,,
新橋?(4002),19:37着,
,19:38発,
品川?(4010),19:43着,
,19:44発,
川崎?(4020),19:52着,
,19:53発,
,,
,,
川崎?(4020),21:10着,
,21:10発,
品川?(4010),21:19着,
,21:20発,
新橋?(4002),21:24着,
,21:25発,
,,
,,
新橋?(4002),09:48着,
,09:48発,
有楽町??,09:50着,
,09:50発,
東京?(4000),09:52着,
,09:52発,
神田??,09:54着,
,09:54発,
秋葉原?(4590),09:56着,
,09:56発,
,,
,,
秋葉原?(4590),10:46着,
,10:46発,
神田??,10:47着,
,10:47発,
東京?(4000),10:50着,
,10:50発,
,,
,,
東京?(4000),11:03着,
,11:03発,
有楽町??,11:04着,
,11:04発,
新橋?(4002),11:06着,
,11:06発,
,,
,,
新橋?(4002),12:55着,
,12:55発,
浜松町??,12:57着,
,12:57発,
田町??,13:00着,
,13:00発,
品川?(4010),13:03着,
,13:03発,
大崎??,13:05着,
,13:06発,
五反田??,13:08着,
,13:08発,
目黒??,13:10着,
,13:10発,
恵比寿??,13:13着,
,13:13発,
渋谷?(4088),13:15着,
,13:15発,
,,
,,
渋谷?(4088),14:18着,
,14:18発,
原宿??,14:20着,
,14:20発,
代々木??,14:23着,
,14:23発,
新宿?(4115),14:25着,
,14:25発,
新大久保??,14:27着,
,14:27発,
高田馬場??,14:29着,
,14:29発,
目白??,14:31着,
,14:31発,
池袋?(4085),14:34着,7
,14:34発,
大塚??,14:36着,
,14:36発,
,,
,,
大塚??,14:54着,
,14:54発,
巣鴨??,14:56着,
,14:56発,
駒込??,14:57着,
,14:57発,
田端??,15:00着,
,15:00発,
西日暮里??,15:01着,
,15:01発,
日暮里?(4302),15:03着,
,15:03発,
鶯谷??,15:05着,
,15:05発,
上野?(4300),15:07着,
,15:07発,
御徒町??,15:09着,
,15:09発,
,,
,,
御徒町??,15:34着,
,15:34発,
秋葉原?(4590),15:36着,
,15:36発,
神田??,15:38着,
,15:38発,
東京?(4000),15:40着,
,15:40発,
有楽町??,15:41着,
,15:41発,
新橋?(4002),15:43着,
,15:43発,
,,
,,
浜松町??,,
,16:28発,
天王洲アイル??,レ,
,レ,
大井競馬場前??,レ,
,レ,
流通センター??,レ,
,レ,
昭和島??,レ,
,レ,
整備場??,レ,
,レ,
天空橋??,レ,
,レ,
羽田空港国際線ビル??,16:41着,
,16:41発,
